n_hidden,200
init_rate,30
decay_rate,1
mini_batch_size,100
dropoutPred,true
maxGrad,5e-05
-----
i	averageErr	auc	testPred	rate	clock
1982	2.3119148692637	0.66323276720728	0.74416533048281	1	10451.834498
1983	2.2541806509262	0.66512631444317	0.74594690896134	1	10456.753746
1984	2.3165331623749	0.6647812153572	0.74719401389631	1	10461.683192
1985	2.3432738871664	0.66486299239179	0.74665954035275	1	10466.603369
1986	2.3455754182665	0.66442826567592	0.74826296098343	1	10471.528796
1987	2.3288889956265	0.66380520644939	0.74897559237484	1	10476.436436
1988	2.3053445747947	0.66545015150013	0.74755032959202	1	10481.367796
1989	2.3239951980327	0.66396876051857	0.74826296098343	1	10486.288956
1990	2.2589342040092	0.66480182316992	0.74469980402637	1	10491.209292
1991	2.3286492483285	0.66496276037399	0.74719401389631	1	10496.119041
1992	2.3041060497566	0.66604450698752	0.74701585604846	1	10501.052257
1993	2.32957076468	0.66419511935031	0.74701585604846	1	10505.961763
1994	2.3309382866439	0.66882492616352	0.74772848743987	1	10510.880418
1995	2.3442839556011	0.66431892978068	0.74630322465705	1	10515.775351
1996	2.3270179032636	0.66401324722539	0.74576875111349	1	10520.696165
1997	2.3249883153101	0.66471742927022	0.74719401389631	1	10525.613023
1998	2.3272398069693	0.66383652705364	0.74523427756993	1	10530.541122
1999	2.3082685460172	0.66406321299352	0.74612506680919	1	10535.477461
2000	2.3072965956785	0.66310053374235	0.74559059326563	1	10540.403865
2001	2.358358049401	0.66956091947481	0.74559059326563	1	10545.313372
2002	2.2906673804267	0.66553004766293	0.74701585604846	1	10550.23018
2003	2.3212672008862	0.66401938050298	0.74665954035275	1	10555.151996
2004	2.2376997298525	0.6631472284291	0.74719401389631	1	10560.078954
2005	2.3170524191552	0.66490821509192	0.74737217174417	1	10565.019896
2006	2.3145517370754	0.66386801121196	0.74683769820061	1	10569.996763
2007	2.315906021012	0.66540959009098	0.74808480313558	1	10575.000558
2008	2.3396556323659	0.66474924053668	0.74576875111349	1	10579.990566
2009	2.319971899492	0.66766835356334	0.7438090147871	1	10584.9425
2010	2.2971859060059	0.66451004271051	0.74505611972207	1	10589.884615
2011	2.2693444415421	0.66274210499975	0.74808480313558	1	10594.839749
2012	2.2897784552412	0.66323276720728	0.74559059326563	1	10599.815989
2013	2.3346943165436	0.66331454424187	0.74487796187422	1	10604.770658
2014	2.3392846973291	0.66396344501132	0.74630322465705	1	10609.743013
2015	2.3510429782689	0.66338511782272	0.74576875111349	1	10614.703434
2016	2.314187628132	0.66301875670776	0.74630322465705	1	10619.715828
2017	2.3085128946643	0.66383652705364	0.74683769820061	1	10624.725255
2018	2.3454252587055	0.66443546205497	0.74612506680919	1	10629.73902
2019	2.3156042001119	0.66370445714278	0.74559059326563	1	10634.754034
2020	2.3168713478709	0.66443186386544	0.74737217174417	1	10639.784124
2021	2.3404810768156	0.6632016101571	0.74523427756993	1	10644.781168
2022	2.3005238559863	0.66530785945995	0.74523427756993	1	10649.781713
2023	2.3316514713752	0.66611802454162	0.74826296098343	1	10654.789015
2024	2.365690041179	0.66380520644939	0.74683769820061	1	10659.781689
2025	2.3027213248456	0.66656665335337	0.74612506680919	1	10664.768451
2026	2.3162636818558	0.66528030059929	0.74612506680919	1	10669.709464
2027	2.3115282921214	0.66367297298447	0.74683769820061	1	10674.661158
2028	2.2706876317951	0.66321379493525	0.74541243541778	1	10679.652029
2029	2.325492837821	0.66358293646938	0.74541243541778	1	10684.621357
2030	2.3418643476715	0.66305024086608	0.74576875111349	1	10689.525661
2031	2.3024892112451	0.66403156528113	0.74630322465705	1	10694.426234
2032	2.3075123287233	0.66683406425647	0.7464813825049	1	10699.348805
2033	2.3039845435184	0.66434648864133	0.74665954035275	1	10704.281446
2034	2.2948865078369	0.66489962850329	0.74630322465705	1	10709.227882
2035	2.3180759743547	0.66405429929675	0.74541243541778	1	10714.129646
2036	2.3209710738724	0.66429586865692	0.74737217174417	1	10719.081051
2037	2.3314641659801	0.66437764569151	0.74665954035275	1	10724.020933
2038	2.2928746640162	0.66347809831104	0.74576875111349	1	10728.965635
2039	2.2647953483863	0.66533141124591	0.74541243541778	1	10733.875119
2040	2.3347536662352	0.66718112599126	0.74559059326563	1	10738.855448
2041	2.3091315927319	0.66489962850329	0.74559059326563	1	10743.820243
2042	2.316939442249	0.66468578155784	0.74701585604846	1	10748.735328
2043	2.3226518516146	0.6651136390028	0.74594690896134	1	10753.669716
2044	2.3381659978661	0.66389965892434	0.74719401389631	1	10758.584749
2045	2.2832363491177	0.66455387520105	0.74683769820061	1	10763.53186
2046	2.2969453483902	0.66347809831104	0.74559059326563	1	10768.464611
2047	2.3022576552367	0.66475537381427	0.74452164617851	1	10773.433393
2048	2.3346377075282	0.66545015150013	0.74505611972207	1	10778.382932
2049	2.3004373011759	0.66590385048803	0.74523427756993	1	10783.257692
2050	2.3767810708198	0.66424541222658	0.74737217174417	1	10788.155909
2051	2.3166175822243	0.66472438031816	0.74523427756993	1	10793.096839
2052	2.3051655185157	0.66462297679528	0.74469980402637	1	10798.045351
2053	2.3156447187475	0.66532331531949	0.74576875111349	1	10802.980869
2054	2.2939051714618	0.66526926069963	0.74737217174417	1	10807.908303
2055	2.3126884962423	0.66413231458775	0.74541243541778	1	10812.836681
2056	2.3118238913143	0.66419511935031	0.74505611972207	1	10817.820577
2057	2.3028649504749	0.66456426088444	0.74523427756993	1	10822.845929
2058	2.2600110177528	0.66617535024286	0.74808480313558	1	10827.752895
2059	2.2976073490869	0.66691273376374	0.7464813825049	1	10832.63339
2060	2.3408905439415	0.66457252036493	0.74861927667914	1	10837.560227
2061	2.2998335477619	0.66329148311811	0.74719401389631	1	10842.444457
2062	2.3181964281931	0.66415194107605	0.74737217174417	1	10847.332947
2063	2.23150276831	0.66475537381427	0.74665954035275	1	10852.348546
2064	2.3199751808125	0.66444045045408	0.74826296098343	1	10857.272318
2065	2.3247892035693	0.66966199588956	0.74505611972207	1	10862.201382
2066	2.3175591631662	0.66414499002811	0.74683769820061	1	10867.131548
2067	2.2854606094818	0.66364165238022	0.74505611972207	1	10872.04626
2068	2.3633194756715	0.6659758960555	0.74755032959202	1	10876.99596
2069	2.298239642696	0.66388698348398	0.74505611972207	1	10881.962984
2070	2.2652049139389	0.66394978824655	0.74826296098343	1	10887.01451
2071	2.3074148485591	0.66748893474945	0.74755032959202	1	10891.941961
2072	2.3334130804153	0.66531636427155	0.74594690896134	1	10896.921496
2073	2.3747121627714	0.66486830789904	0.74469980402637	1	10901.792902
2074	2.2891128546817	0.66424541222658	0.74665954035275	1	10906.909954
2075	2.3421303841911	0.66434648864133	0.74612506680919	1	10911.860116
2076	2.3159933240485	0.66363044892648	0.74772848743987	1	10916.784017
2077	2.3255728170981	0.66423371811064	0.74701585604846	1	10921.720331
2078	2.3163412605581	0.66475537381427	0.74523427756993	1	10926.635458
2079	2.2984296358903	0.66476755859243	0.74594690896134	1	10931.616603
2080	2.3128972198582	0.66516425898721	0.74683769820061	1	10936.539532
2081	2.2426957392444	0.66546380826491	0.74559059326563	1	10941.451446
2082	2.3300608995137	0.66525822079996	0.74576875111349	1	10946.369322
2083	2.3059366086858	0.66574029641885	0.74719401389631	1	10951.276133
2084	2.3353209280073	0.66476755859243	0.74559059326563	1	10956.19252
2085	2.2953094439261	0.66563079696954	0.74559059326563	1	10961.127945
2086	2.3047256470764	0.66451004271051	0.74594690896134	1	10966.077115
2087	2.2859123597962	0.66529681956028	0.74559059326563	1	10971.014256
2088	2.3433423695079	0.66576319398854	0.74630322465705	1	10975.954909
2089	2.3048402989554	0.66683471847275	0.74630322465705	1	10980.939128
2090	2.318908264407	0.66410115753757	0.74576875111349	1	10985.877243
2091	2.2967917336106	0.66768004767928	0.74737217174417	1	10990.824805
2092	2.289067087237	0.66377404939922	0.74469980402637	1	10995.731102
2093	2.3169002382916	0.6702969127861	0.74612506680919	1	11000.712043
2094	2.2872174879349	0.66331454424187	0.74523427756993	1	11005.667532
2095	2.3511298868406	0.66608964791061	0.74612506680919	1	11010.552671
2096	2.2836697631031	0.66429055314968	0.74452164617851	1	11015.458173
2097	2.3115908048062	0.66806513573516	0.74612506680919	1	11020.461479
2098	2.3051076935573	0.6654675700085	0.74452164617851	1	11025.46823
2099	2.3556367748143	0.66396876051857	0.74559059326563	1	11030.375966
2100	2.3188892041906	0.66497658069283	0.74452164617851	1	11035.33237
2101	2.3729206243892	0.66430854409728	0.74790664528772	1	11040.337078
2102	2.3133004540592	0.66383202931674	0.74469980402637	1	11045.28703
2103	2.3482070213318	0.66614386608454	0.74719401389631	1	11050.257699
2104	2.3096815883646	0.6654720677454	0.74594690896134	1	11055.17364
2105	2.3153823917393	0.66386801121196	0.74469980402637	1	11060.125645
2106	2.3660257937299	0.66461766128803	0.74559059326563	1	11065.049875
2107	2.3113346434847	0.66487206964263	0.74630322465705	1	11069.955017
2108	2.3378995504579	0.66375475001905	0.74630322465705	1	11074.940977
2109	2.3372249164592	0.67044182169139	0.74879743452699	1	11079.871245
2110	2.3054732613094	0.66379989094215	0.74576875111349	1	11084.829997
2111	2.3023376795181	0.66513056684896	0.74755032959202	1	11089.776597
2112	2.2672024838312	0.66435008683086	0.74469980402637	1	11094.745277
2113	2.3340856952833	0.66524431870408	0.74630322465705	1	11099.705043
2114	2.340547189369	0.66672162083391	0.74541243541778	1	11104.615441
2115	2.2872927700815	0.66602586182363	0.74772848743987	1	11109.570189
2116	2.3394296096339	0.66449074333035	0.74594690896134	1	11114.556671
2117	2.3945274519194	0.66473157669721	0.7464813825049	1	11119.585106
2118	2.2945685668469	0.66333147208803	0.7464813825049	1	11124.625953
2119	2.2866313812513	0.66404980155985	0.74844111883128	1	11129.636762
2120	2.2949645985038	0.66439457353767	0.75004453946196	1	11134.661914
2121	2.3238656448337	0.66428098523663	0.74879743452699	1	11139.694136
2122	2.3272013424598	0.66373610485517	0.74487796187422	1	11144.687409
2123	2.2835519059215	0.6638248329377	0.74737217174417	1	11149.692884
2124	2.3225981452338	0.66497658069283	0.74665954035275	1	11154.662707
2125	2.3099289461949	0.66403565413286	0.74737217174417	1	11159.6389
2126	2.3055165165743	0.66700685913055	0.7495100659184	1	11164.642708
2127	2.3039484205141	0.66460400452325	0.74737217174417	1	11169.674962
2128	2.2527286974171	0.6697323241393	0.74683769820061	1	11174.703701
2129	2.2923629722051	0.66391830408823	0.74594690896134	1	11179.726485
2130	2.3197452242121	0.66782070417877	0.74523427756993	1	11184.735663
2131	2.3121423062289	0.66514888490471	0.74755032959202	1	11189.750908
2132	2.3063525493922	0.66444821927236	0.74719401389631	1	11194.764611
2133	2.288073550504	0.66359119594988	0.74755032959202	1	11199.764424
2134	2.3519722657282	0.66434035536374	0.74826296098343	1	11204.681297
2135	2.3195445945316	0.66366471350397	0.74719401389631	1	11209.628503
2136	2.3234687185063	0.66468578155784	0.74986638161411	1	11214.57035
2137	2.3133609227273	0.66552252417574	0.74576875111349	1	11219.43168
2138	2.2268993443294	0.67105220547756	0.74737217174417	1	11224.296346
2139	2.3371625208646	0.66460400452325	0.74559059326563	1	11229.201472
2140	2.2950684544001	0.66478653086445	0.74701585604846	1	11234.133333
2141	2.3350606699369	0.66611189126402	0.74719401389631	1	11239.098533
2142	2.2783535877488	0.66457252036493	0.7464813825049	1	11244.010831
2143	2.3144335615005	0.6662754453332	0.74683769820061	1	11248.89553
2144	2.3182420128231	0.66388698348398	0.74612506680919	1	11253.833213
2145	2.3060711142083	0.66715806486751	0.74665954035275	1	11258.719229
2146	2.2900571429042	0.66489962850329	0.74487796187422	1	11263.622831
2147	2.317780039787	0.66503562371181	0.74737217174417	1	11268.584996
2148	2.331680193892	0.66532781305639	0.74594690896134	1	11273.529797
2149	2.2509365973445	0.66461766128803	0.7464813825049	1	11278.44082
2150	2.3049720970271	0.66584169994174	0.7464813825049	1	11283.330789
2151	2.2726039024089	0.66465822269718	0.74737217174417	1	11288.228571
2152	2.347638249779	0.66399084031791	0.74683769820061	1	11293.128764
2153	2.3061209634222	0.66537164554693	0.7491537502227	1	11298.020766
2154	2.3249444138033	0.66592609384144	0.74594690896134	1	11302.942248
2155	2.2694328183166	0.66619203275792	0.74701585604846	1	11307.844047
2156	2.3059303893719	0.66515812570962	0.74808480313558	1	11312.764291
2157	2.3003439019327	0.66556864642325	0.7464813825049	1	11317.663088
2158	2.3282139678734	0.66378623417737	0.74755032959202	1	11322.598101
2159	2.3207070148222	0.66440446855886	0.74576875111349	1	11327.532801
2160	2.3488300618539	0.66552252417574	0.74665954035275	1	11332.476329
2161	2.3010277262571	0.66455387520105	0.74630322465705	1	11337.410181
2162	2.2729563116978	0.66462297679528	0.74665954035275	1	11342.45297
2163	2.2804979222279	0.66596297528404	0.74505611972207	1	11347.366676
2164	2.2852985602707	0.66450390943292	0.74879743452699	1	11352.281984
2165	2.3131515977439	0.66271454613909	0.74594690896134	1	11357.188038
2166	2.2977494550045	0.66371811390756	0.74808480313558	1	11362.06963
2167	2.3203170004968	0.66447209816646	0.74559059326563	1	11366.963822
2168	2.3222206292199	0.66474924053668	0.74665954035275	1	11371.888735
2169	2.3019171061422	0.66589411902091	0.74897559237484	1	11376.792176
2170	2.2734180184072	0.6638558264338	0.74790664528772	1	11381.785578
2171	2.3029705518544	0.66462297679528	0.74434348833066	1	11386.64695
2172	2.3093061037965	0.6634907737514	0.74683769820061	1	11391.56226
2173	2.3188379399545	0.66419511935031	0.74772848743987	1	11396.494098
2174	2.2928135424689	0.66494215256127	0.74683769820061	1	11401.474208
2175	2.2847157315963	0.66444045045408	0.74594690896134	1	11406.481708
2176	2.3026900065921	0.66465429739952	0.7438090147871	1	11411.418176
2177	2.3198787816401	0.66535103773421	0.74559059326563	1	11416.344909
2178	2.3048181806075	0.66394978824655	0.74594690896134	1	11421.222895
2179	2.2637628441057	0.66362268010819	0.74576875111349	1	11426.121139
2180	2.2765627275651	0.66334586484611	0.74559059326563	1	11430.983832
2181	2.3139090699351	0.66341594776476	0.74541243541778	1	11435.927238
2182	2.3504775577038	0.66420877611509	0.74772848743987	1	11440.838356
2183	2.2498109180964	0.66451364090003	0.74630322465705	1	11445.736809
2184	2.3063007740323	0.66517644376537	0.74612506680919	1	11450.625819
2185	2.3233802745907	0.66424933752424	0.74487796187422	1	11455.533297
2186	2.3058585596443	0.66350941891529	0.74630322465705	1	11460.44573
2187	2.3161990497321	0.66527645707867	0.74790664528772	1	11465.304688
2188	2.3293415731124	0.66540959009098	0.74576875111349	1	11470.178702
2189	2.2630637362668	0.66394978824655	0.74398717263495	1	11475.125613
2190	2.2614303434274	0.66463565223564	0.74897559237484	1	11480.001879
2191	2.2915640313837	0.6657474927979	0.74452164617851	1	11484.905456
2192	2.3010359582956	0.66486299239179	0.7464813825049	1	11490.00042
2193	2.300476953495	0.6639314701908	0.74487796187422	1	11495.031388
2194	2.2702612927789	0.66389965892434	0.74505611972207	1	11500.005625
2195	2.2865373584988	0.66463565223564	0.74612506680919	1	11504.96554
2196	2.301767864885	0.66439032113187	0.74755032959202	1	11510.015016
2197	2.3595195126877	0.66464979966262	0.74434348833066	1	11514.979041
2198	2.3184448798075	0.66617674045245	0.74576875111349	1	11519.943853
2199	2.3436256614636	0.66984182358862	0.74576875111349	1	11524.900462
2200	2.2691706896527	0.66367297298447	0.7464813825049	1	11529.847771
